source_run,layer_index,layer_name,learned_beta,learned_tau,T_HFR,S_HFR,T_timesteps,spatial_H,spatial_W
p3,0,patch_embed1.embed1.embed_lif,0.24768735334643655,1.3292346000671387,0.9137915056045398,0.04654421003848627,4,32,32
p3,1,patch_embed1.embed2.embed_lif,0.49157289205931753,1.9668502807617188,0.8376786204492241,0.049161533255033855,4,32,32
p3,2,stage1.0.attn.x_lif,0.3497559978878678,1.53788423538208,0.7869886328385766,0.05814880379200567,4,32,32
p3,3,stage1.0.attn.q_lif,0.27874514189927346,1.386472463607788,0.7872679682948004,0.0,4,1,96
p3,4,stage1.0.attn.k_lif,0.41094632114258023,1.6976381540298462,0.7641756065606606,0.0,4,1,96
p3,5,stage1.0.attn.v_lif,0.4003053445592306,1.6675152778625488,0.761752425390284,0.0,4,1,96
p3,6,stage1.0.attn.attn_lif,0.8937163712969657,9.40878677368164,0.6847085114237311,0.0,4,1,96
p3,7,stage1.0.mlp.fc1_lif,0.6465862316807339,2.8295445442199707,0.6891637167145462,0.05552971184675909,4,32,32
p3,8,stage1.0.mlp.fc2_lif,0.45577937540352964,1.8374900817871094,0.7316941122134231,0.0928314429282267,4,32,32
p3,9,patch_embed2.embed1.embed_lif,0.505067089582972,2.0204758644104004,0.7030315747270316,0.07196171131610779,4,32,32
p3,10,patch_embed2.orig_embed1.embed_lif,0.2505317283176086,1.3342792987823486,0.7363582909311974,0.04616792404722971,4,32,32
p3,12,stage2.0.attn.x_lif,0.4530832154941744,1.8284317255020142,0.6860276721317103,0.08803999430761755,4,16,16
p3,13,stage2.0.attn.q_lif,0.29450392115702395,1.4174423217773438,0.7060447258147858,0.0,4,1,192
p3,14,stage2.0.attn.k_lif,0.3596581182488636,1.5616657733917236,0.695140258327574,0.0,4,1,192
p3,15,stage2.0.attn.v_lif,0.31973320033897346,1.4700114727020264,0.699959198909926,0.0,4,1,192
p3,16,stage2.0.attn.attn_lif,0.7343866917746141,3.764871597290039,0.6783547942894671,0.0,4,1,192
p3,17,stage2.0.mlp.fc1_lif,0.673520145048051,3.062976121902466,0.6492818458426398,0.08569769647253701,4,16,16
p3,18,stage2.0.mlp.fc2_lif,0.5247912615061802,2.1043384075164795,0.6672556654459199,0.10863989995199032,4,16,16
p3,19,patch_embed3.embed1.embed_lif,0.5228188463110222,2.095640182495117,0.651530911000826,0.09294593049416743,4,16,16
p3,20,patch_embed3.orig_embed1.embed_lif,0.24100038091998055,1.317523717880249,0.6995666048018927,0.03162826624663181,4,16,16
p3,22,stage3.0.attn.x_lif,0.3937954241086591,1.6496081352233887,0.6765995756386372,0.08208612413508555,4,8,8
p3,23,stage3.0.attn.q_lif,0.19218848570682667,1.2379125356674194,0.6950628805029354,0.0,4,1,384
p3,24,stage3.0.attn.k_lif,0.2406189792207385,1.3168619871139526,0.6871904698498761,0.0,4,1,384
p3,25,stage3.0.attn.v_lif,0.23590971344501044,1.3087458610534668,0.6875684861633186,0.0,4,1,384
p3,26,stage3.0.attn.attn_lif,0.34340426631057985,1.5230071544647217,0.6632846598999866,0.0,4,1,384
p3,27,stage3.0.mlp.fc1_lif,0.5025024896795134,2.0100603103637695,0.6550704502683766,0.08082722282655537,4,8,8
p3,28,stage3.0.mlp.fc2_lif,0.30096459560632927,1.4305427074432373,0.6728711929770093,0.09755053277762349,4,8,8
p3,29,stage3.1.attn.x_lif,0.5307136506779991,2.1308951377868652,0.6477987613779713,0.11201091583706266,4,8,8
p3,30,stage3.1.attn.q_lif,0.255552688104864,1.343278408050537,0.6718002711916916,0.0,4,1,384
p3,31,stage3.1.attn.k_lif,0.3058980488775196,1.4407105445861816,0.6653797739768167,0.0,4,1,384
p3,32,stage3.1.attn.v_lif,0.29761969951890266,1.4237301349639893,0.6657716222169324,0.0,4,1,384
p3,33,stage3.1.attn.attn_lif,0.2287340294328627,1.296569585800171,0.6587395548501422,0.0,4,1,384
p3,34,stage3.1.mlp.fc1_lif,0.5855439839952917,2.4128012657165527,0.6414638874004555,0.1167410902173038,4,8,8
p3,35,stage3.1.mlp.fc2_lif,0.29079409578996585,1.4100277423858643,0.661415934837279,0.13613551063507254,4,8,8
p3,36,head_lif,0.26864616583196543,1.3673272132873535,0.6777419220177157,nan,4,1,1
